"order_id","customer_id","order_purchase_timestamp","order_status","customer_city","customer_state","product_id","seller_id","price","freight_value","review_score","review_comment_title","review_comment_message","seller_city","seller_state","product_weight_g","product_category_name_english"
"0006ec9db01a64e59a68b2c340bf65a7","5d178120c29c61748ea95bac23cb8f25","2018-07-24 17:04:17",delivered,rio de janeiro,RJ,"99a4788cb24856965c36a24e339b6058","4a3ca9315b744ce9f8e9374361493884",74.0,23.32,5,Boa,Excelente serviço de compras on line.,ibitinga,SP,1383,bed_bath_table
"0009c9a17f916a706d71784483a5d643","8a250edc40ebc5c3940ebc940f16a7eb","2018-04-25 09:10:41",delivered,campinas,SP,"3f27ac8e699df3d300ec4a5d8c5cf0b2",fcb5ace8bcc92f75707dc0f01a27d269,639.0,11.34,4,"","",guarulhos,SP,200,consoles_games
"000aed2e25dbad2f9ddb70584c5a2ded",fff5169e583fd07fac9fec88962f189d,"2018-05-11 20:33:38",delivered,santa barbara d'oeste,SP,"4fa33915031a8cde03dd0d3e8fb27f01",fe2032dab1a61af8794248c8196565c9,144.0,8.77,,"","",campinas,SP,468,perfumery
"002175704e8b209f61b9ad5cfd92b60e",a562db3c7cb9a68947debd30879b491e,"2018-04-22 12:13:25",delivered,araraquara,SP,e6b6e13cf71449a457269f425b89dc74,b2ba3715d723d245138f291a6fe42594,109.9,13.21,4,Recomendo,Produto como descrito. Mas não gostei pq o som do alarme é muito baixo.. ,sao paulo,SP,588,audio
"930fff097a9427c8a9a70559aa36fa76",dc56b538928bb9f7212da239e24cda3d,"2018-08-22 11:52:54",delivered,maua,SP,"5d6bea33648f018dbb563f3a2fab09f3","1025f0e2d44d7041d6cf58b6550e0bfa",159.8,16.42,2,"",Produto lindo! De ótima qualidade,sao paulo,SP,4000,furniture_decor
"002f16b7bc4530031b7d90f791b12d8a","1eeffe21744883fbf61fbf138dbb8eee","2018-07-02 16:51:47",delivered,sao paulo,SP,d54c5b81fc2b38707588dd4eddc7c594,"0241d4d5d36f10f80c644447315af0bd",249.9,34.23,5,"","",curitiba,PR,7850,furniture_decor
"00335f75ea6a4455b524a8dd177067f5","32b84239e3f3904ac162d832454770c7","2018-04-25 21:47:26",delivered,rio de janeiro,RJ,e1bf2f209fd2b08e1af3ed71732d9008,"70c27847eca8195c983ed7e798c56743",168.8,8.21,5,"","",rio de janeiro,RJ,127,pet_shop
"931e76c33f2109e760025ef697884eed","895ebf13f70811385a4922e54c182404","2018-06-14 23:41:56",delivered,sao bernardo do campo,SP,d04857e7b4b708ee8b8b9921163edba3,"9f505651f4a6abe901a56cdc21508025",67.99,9.23,2,"","",sao paulo,SP,450,computers_accessories
"0036757472ece3dde52fd4bfd929c90e",ea477083e770db0655938e79149f8c24,"2018-07-19 14:58:59",delivered,bauru,SP,"4c1bbc12438daec98a77243c2bf7a3ba","7c67e1448b00f6e969d365cea6b010ab",136.99,66.04,2,Mesa com cavaletes ,"Demora absurda para entrega, dentro do prazo especificado por eles, mas ainda sim muito demorado!",itaquaquecetuba,SP,15475,office_furniture
"9333298e9cc54a35f22242a9fc3a3ad0","7268d0d0a96aae2c0a19496f87fa9116","2018-07-06 21:20:26",delivered,varginha,MG,"10070e29929f7c7d609ee3201f236b8e","8a130737016f838139d31878787a39c9",95.2,23.47,2,"","",sao paulo,SP,1250,home_construction
"003a94f778ef8cfd50247c8c1b582257",da108bc410acffb1400cf9caea65a332,"2018-08-03 14:52:31",delivered,campo grande,MS,"452f66a0f164cac57802e2cea93188ac",f80edd2c5aaa505cc4b0a3b219abf4b8,39.9,18.08,1,"","",sao paulo,SP,350,construction_tools_construction
"003cc6161d7a2593f2525cce0c330d32","7d9802889236ab8fc541bfb438978cd7","2018-08-03 19:33:35",delivered,sao paulo,SP,fadc89c2a60ff96b18827644074dfd70,"53e4c6e0f4312d4d2107a8c9cddf45cd",85.0,12.9,5,Muito rápido a entrega! ,Amei o conj! Foi entregue rápido! O conj é perfeito ,pedreira,SP,1800,housewares
"003d9fc84ad902adf2265248b5ffe1a4","8c66482ec333eae596c93a9131981a9a","2018-08-19 19:43:01",delivered,sao paulo,SP,"3fbc0ef745950c7932d5f2a446189725","06a2c3af7b3aee5d69171b0e14f0ee87",66.99,27.75,,"","",sao luis,MA,350,health_beauty
"93360105ca495a4a0a6f794ceb678ffa","3ce34bb8e367bf73269332c55df37764","2018-08-13 10:47:03",delivered,belo horizonte,MG,b75a056d7d03227c3a3b60e9ccf518c9,"3f995f07c49d0d55a99d5c54957f7d81",59.0,15.51,2,"","",itapecerica da serra,SP,450,auto
"00404fa7a687c8c44ca69d42695aae73","0c34c39c897304ff49eeade3059c4c60","2018-05-07 22:38:21",delivered,sao paulo,SP,"53b36df67ebb7c41585e8d54d6772e08","7d13fca15225358621be4086e1eb0964",99.9,0.0,,"","",ribeirao preto,SP,584,watches_gifts
"9341b903f73c4e68b67416d70236ca6e","357791671a41c4a3689a29f94ef60919","2018-07-25 23:41:45",delivered,londrina,PR,"55d3c0d8016d88527c993d62d989f19d",cd6efc47efaabf134f8bdb654e10b4f1,89.99,23.43,2,Aprovado... ,"Produto perfeito
Chegou bem antes do prazo
Superou minhas expectativas.
Estão de parabéns.",rio de janeiro,RJ,1250,computers_accessories
"934583479bac4ab37120cace4120596a",c61712069fee480dc1e288d0b9019dbb,"2018-06-07 14:56:01",delivered,sombrio,SC,dc6185221ef0ba24510b48e0612fd51f,ea67327e24487bdfac5fbfa37ea124df,127.45,23.47,2,recomendo,Tudo entregue certinho e antes do prazo... Recomendo!,ibitinga,SP,6700,bed_bath_table
"934ef038209c91cc0ca47c0fb29e2f40","4778a939ea8fd1445e8eced0ce1b4b5b","2018-05-06 11:40:50",delivered,vinhedo,SP,ce6ffea9f2a71228df7664c52f21450d,fdaaf5bfda82b7b80535610c831b8d09,115.0,13.25,2,"","",sao jose do rio preto,SP,200,sports_leisure
"004b62108b876867938746ad3154167f","7ddb7e4242fcc518842aade22f5bee4d","2018-07-04 20:34:26",delivered,sao paulo,SP,c589625c8ccc7bfd2e8f1fb041e24c4a,c70c1b0d8ca86052f45a432a38b73958,110.32,8.03,5,Muito bom fornecedor,Chegou corretamente e antes do prazo! ,hortolandia,SP,150,health_beauty
"935a65ea45bc5c2692cdb3d0141941ca","205f0ff8598ac037f52616b3edf13337","2018-06-01 07:29:39",delivered,aracati,CE,"7c55ea4aea1acf1ce11440010f5aa298","955fee9216a65b617aa5c0531780ce60",399.0,86.34,2,"","",sao paulo,SP,9900,housewares
"936979ce0687947765e88fe5fe1b741e",d37f9472ef5b98a17bcf2716cfe87cfb,"2018-06-22 23:34:28",delivered,brasilia,DF,a40675a9c6ef2410e3420483a1f8c81f,fa1c13f2614d7b5c4749cbc52fecda94,119.9,15.94,2,"","",sumare,SP,350,watches_gifts
"0067c6030d65af0ff98790158ddb0020",a780c20430b67279f7a0b43cf94b1738,"2018-04-27 21:36:27",delivered,sao paulo,SP,"02ed3b595447e948efc3eac897e4df0e","640e21a7d01df7614a3b4923e990d40c",40.35,13.71,,"","",ibitinga,SP,725,bed_bath_table
"006df90050498994d670b40da4651d22","5c94f28f54aa13e14aaf67039511f318","2018-08-13 13:59:20",delivered,sao paulo,SP,"85d619318aa201aca57171aabeed0048",cea729054f157f5870bdd321a958d994,14.0,7.39,5,"","",sao paulo,SP,150,sports_leisure
"0079bca8e89bd52fdb87408e4f3fb94d","137f50d5bfbcfb9578c50605cc9adb16","2018-05-03 18:55:20",delivered,sao paulo,SP,"19421075ae0b585f2dc13ff149e2119d","4c2b230173bb36f9b240f2b8ac11786e",49.9,7.39,5,"","Segunda compra com esta empresa, muito bom o produto e o prazo de entrega sempre antecipado ,muito obrigado!",sao paulo,SP,150,sports_leisure
"007bbb40c95870c0f75a7855f2636c65","72a46280034e63cc3703b1f969f65733","2018-04-24 10:37:50",delivered,sao paulo,SP,"0ec7b6a863e219792bc4d50d3a62a839","1e8b33f18b4f7598d87f5cbee2282cc2",148.9,13.95,5,Excelente,"Produto de ótima qualidade,muito fofo e super macio.",sao paulo,SP,7474,bed_bath_table
"008819c6d5f6da6fa5cd9d50ca927cf4",f453853c7750dfea2b35f2a89382003e,"2018-08-04 21:40:35",delivered,sao paulo,SP,"57f2bc497c1a3ebe41ba7a06d78ed159","6560211a19b47992c3666cc44a7e94c0",55.0,7.65,,"","",sao paulo,SP,250,watches_gifts
"9369e6a8348c5db62ce50008dfc39244",fbb43bb6c6acb8c718f9d2605526681b,"2018-05-04 03:40:39",delivered,salvador,BA,"3d3dd9f435c6795eb6ff0be50b45041f","9596c870880d900012f2e8e6e30d06d7",78.45,19.95,2,"","",varginha,MG,3167,stationery
"008d9bf350ff02ed444b3452cf3f57e0","84f30d2805ae1bddbe5deefc84c80cd0","2018-06-04 08:57:02",delivered,vila velha,ES,efec0b0b076ce3f164b80145743ebc02,"1da3aeb70d7989d1e6d9b0e887f97c23",9.99,15.23,5,super recomendo,Extrema pontualidade e ótimo produto.,sao paulo,SP,245,toys
"008d9bf350ff02ed444b3452cf3f57e0","84f30d2805ae1bddbe5deefc84c80cd0","2018-06-04 08:57:02",delivered,vila velha,ES,efec0b0b076ce3f164b80145743ebc02,"1da3aeb70d7989d1e6d9b0e887f97c23",9.99,15.23,5,super recomendo,Extrema pontualidade e ótimo produto.,sao paulo,SP,245,toys
"0091a677651feaf5a08d7bb147681e14","93d82c58a8f2b0d2db80f16867b99edd","2018-08-24 13:27:17",delivered,campinas,SP,bf06a69bb27c58156391de458700f3e7,"6560211a19b47992c3666cc44a7e94c0",38.0,7.53,4,Entrega no prazo,"Meu pedido foi entregue bem antes do prazo, obrigado, super recomendo.",sao paulo,SP,300,watches_gifts
"00949655cdd8d0465e433a5e6c9643e5","141bdfe99910207edd84c00700397580","2018-06-25 21:14:53",delivered,sao paulo,SP,"0ea04fc101523a27bb53845d14d7d809","8648b1e89e9b349e32d3741b30ec737e",18.0,7.87,5,Execelente vendedor,"",jacarei,SP,100,construction_tools_construction
"0094bd07f49fed90209ffa62d1ef26d6",de0c1a4d8c367c58d66e61dfa379f4cf,"2018-05-01 02:04:16",delivered,praia grande,SP,d64e758afad411049a45e42c9a259241,"5670f4db5b62c43d542e1b2d56b0cf7c",11.53,7.39,1,Não recebi o produto,Comprei o rímel tango de embalagem vermelha e recebi outro produto. Entrei em contato com a lannister solicitando informações para a troca e até agora ninguém respondeu.,sao paulo,SP,100,perfumery
"0096668e5b0b8e9657a6f7209a4e58b4",b6fbaad4eb3a0794111683dca8122610,"2018-07-11 13:33:21",delivered,sao paulo,SP,"55782cb82e0efe052da0a3da237da3b2",c003204e1ab016dfa150abc119207b24,166.9,13.47,4,Recomendo,O produto atendeu minhas necessidades,cajamar,SP,2450,auto
"0097aafe2a01dd54e39888976160c377","6e6943d8c4822ead782b17d532e6ee63","2018-08-23 14:41:37",delivered,osasco,SP,dfbbf137ccb6af48e66d186a33118579,"56e361f411e38dcef17cdc2a3d99628b",62.0,8.59,4,"","",guarulhos,SP,450,computers_accessories
"00a12754417a49a9dec20361849aa917","4cb9c04be8cfbc5c1e0519344c72a5ed","2018-05-08 21:58:57",delivered,sao paulo,SP,f7a17d2c51d9df89a4f1711c4ac17f33,f8db351d8c4c4c22c6835c19a46f01b0,48.9,8.82,4,Recomendo,"",salto,SP,350,housewares
